Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Login,Chrome 81.0.4044.138,,,2020-05-13 15:04:39,2020-05-13 15:09:44,"5m - 4,894s",PASSED
,,,,,,,
Test Cases/Rizka/Admin - Login,Chrome 81.0.4044.138,,,2020-05-13 15:04:40,2020-05-13 15:05:56,"1m - 16,174s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-13 15:04:41,2020-05-13 15:04:51,"9,452s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 81.0.4044.138,,,2020-05-13 15:04:51,2020-05-13 15:05:07,"15,952s",PASSED
maximizeWindow(),Chrome 81.0.4044.138,,,2020-05-13 15:05:07,2020-05-13 15:05:08,"1,441s",PASSED
delay(30),Chrome 81.0.4044.138,,,2020-05-13 15:05:08,2020-05-13 15:05:38,"30,069s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin""))",Chrome 81.0.4044.138,,,2020-05-13 15:05:38,2020-05-13 15:05:39,"1,233s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtUsername""), username)",Chrome 81.0.4044.138,,,2020-05-13 15:05:39,2020-05-13 15:05:40,"1,082s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtPassword""), password)",Chrome 81.0.4044.138,,,2020-05-13 15:05:40,2020-05-13 15:05:41,"0,854s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnEyePass""))",Chrome 81.0.4044.138,,,2020-05-13 15:05:41,2020-05-13 15:05:42,"0,463s",PASSED
"if (rememberMe == ""yes"")",Chrome 81.0.4044.138,,,2020-05-13 15:05:42,2020-05-13 15:05:42,"0,532s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin2""))",Chrome 81.0.4044.138,,,2020-05-13 15:05:42,2020-05-13 15:05:43,"0,713s",PASSED
delay(10),Chrome 81.0.4044.138,,,2020-05-13 15:05:43,2020-05-13 15:05:53,"10,006s",PASSED
"if (condition == ""passed"")",Chrome 81.0.4044.138,,,2020-05-13 15:05:53,2020-05-13 15:05:56,"3,423s",PASSED
,,,,,,,
Test Cases/Rizka/Admin - Login,Chrome 81.0.4044.138,,,2020-05-13 15:05:56,2020-05-13 15:07:07,"1m - 10,653s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-13 15:05:57,2020-05-13 15:06:01,"4,720s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 81.0.4044.138,,,2020-05-13 15:06:01,2020-05-13 15:06:18,"16,517s",PASSED
maximizeWindow(),Chrome 81.0.4044.138,,,2020-05-13 15:06:18,2020-05-13 15:06:19,"1,447s",PASSED
delay(30),Chrome 81.0.4044.138,,,2020-05-13 15:06:19,2020-05-13 15:06:49,"30,006s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin""))",Chrome 81.0.4044.138,,,2020-05-13 15:06:49,2020-05-13 15:06:50,"1,215s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtUsername""), username)",Chrome 81.0.4044.138,,,2020-05-13 15:06:50,2020-05-13 15:06:51,"0,867s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtPassword""), password)",Chrome 81.0.4044.138,,,2020-05-13 15:06:51,2020-05-13 15:06:52,"0,669s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnEyePass""))",Chrome 81.0.4044.138,,,2020-05-13 15:06:52,2020-05-13 15:06:53,"0,668s",PASSED
"if (rememberMe == ""yes"")",Chrome 81.0.4044.138,,,2020-05-13 15:06:53,2020-05-13 15:06:53,"0,005s",PASSED
