Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Manage Modules,Chrome 81.0.4044.138,,,2020-05-19 15:23:48,2020-05-19 15:27:30,"3m - 41,672s",PASSED
,,,,,,,
Test Cases/Rizka/Admin - Manage Modules,Chrome 81.0.4044.138,,,2020-05-19 15:23:50,2020-05-19 15:25:05,"1m - 15,344s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-19 15:23:51,2020-05-19 15:24:03,"12,092s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 81.0.4044.138,,,2020-05-19 15:24:03,2020-05-19 15:24:14,"10,925s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:24:14,2020-05-19 15:24:19,"5,084s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin""))",Chrome 81.0.4044.138,,,2020-05-19 15:24:19,2020-05-19 15:24:21,"1,264s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtUsername""), ""11666"")",Chrome 81.0.4044.138,,,2020-05-19 15:24:21,2020-05-19 15:24:22,"0,980s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtPassword""), ""Password3"")",Chrome 81.0.4044.138,,,2020-05-19 15:24:22,2020-05-19 15:24:23,"0,876s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnEyePass""))",Chrome 81.0.4044.138,,,2020-05-19 15:24:23,2020-05-19 15:24:23,"0,573s",PASSED
"click(findTestObject(""Rizka/Admin - Login/checkboxRememberMe""))",Chrome 81.0.4044.138,,,2020-05-19 15:24:23,2020-05-19 15:24:24,"0,563s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin2""))",Chrome 81.0.4044.138,,,2020-05-19 15:24:24,2020-05-19 15:24:24,"0,735s",PASSED
delay(20),Chrome 81.0.4044.138,,,2020-05-19 15:24:24,2020-05-19 15:24:44,"20,007s",PASSED
"click(findTestObject(""Rizka/Admin - Manage Modules/btnManageModules""))",Chrome 81.0.4044.138,,,2020-05-19 15:24:44,2020-05-19 15:24:45,"0,594s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:24:45,2020-05-19 15:24:50,"5,007s",PASSED
"setText(findTestObject(""Rizka/Admin - Manage Modules/inputSearch""), namaModul)",Chrome 81.0.4044.138,,,2020-05-19 15:24:50,2020-05-19 15:24:58,"7,498s",PASSED
"click(findTestObject(""Rizka/Admin - Manage Modules/btnSearch""))",Chrome 81.0.4044.138,,,2020-05-19 15:24:58,2020-05-19 15:24:59,"1,271s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:24:59,2020-05-19 15:25:04,"5,014s",PASSED
"if (condition == ""passed"")",Chrome 81.0.4044.138,,,2020-05-19 15:25:04,2020-05-19 15:25:05,"1,118s",PASSED
,,,,,,,
Test Cases/Rizka/Admin - Manage Modules,Chrome 81.0.4044.138,,,2020-05-19 15:25:05,2020-05-19 15:26:22,"1m - 16,762s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-19 15:25:05,2020-05-19 15:25:12,"6,504s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 81.0.4044.138,,,2020-05-19 15:25:12,2020-05-19 15:25:30,"18,134s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:25:30,2020-05-19 15:25:35,"5,017s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin""))",Chrome 81.0.4044.138,,,2020-05-19 15:25:35,2020-05-19 15:25:37,"1,980s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtUsername""), ""11666"")",Chrome 81.0.4044.138,,,2020-05-19 15:25:37,2020-05-19 15:25:38,"1,469s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtPassword""), ""Password3"")",Chrome 81.0.4044.138,,,2020-05-19 15:25:38,2020-05-19 15:25:39,"1,168s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnEyePass""))",Chrome 81.0.4044.138,,,2020-05-19 15:25:39,2020-05-19 15:25:40,"0,650s",PASSED
"click(findTestObject(""Rizka/Admin - Login/checkboxRememberMe""))",Chrome 81.0.4044.138,,,2020-05-19 15:25:40,2020-05-19 15:25:41,"1,073s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin2""))",Chrome 81.0.4044.138,,,2020-05-19 15:25:41,2020-05-19 15:25:42,"0,798s",PASSED
delay(20),Chrome 81.0.4044.138,,,2020-05-19 15:25:42,2020-05-19 15:26:02,"20,007s",PASSED
"click(findTestObject(""Rizka/Admin - Manage Modules/btnManageModules""))",Chrome 81.0.4044.138,,,2020-05-19 15:26:02,2020-05-19 15:26:04,"2,553s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:26:04,2020-05-19 15:26:09,"5,005s",PASSED
"setText(findTestObject(""Rizka/Admin - Manage Modules/inputSearch""), namaModul)",Chrome 81.0.4044.138,,,2020-05-19 15:26:09,2020-05-19 15:26:15,"5,939s",PASSED
"click(findTestObject(""Rizka/Admin - Manage Modules/btnSearch""))",Chrome 81.0.4044.138,,,2020-05-19 15:26:15,2020-05-19 15:26:16,"0,676s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:26:16,2020-05-19 15:26:21,"5,004s",PASSED
"if (condition == ""passed"")",Chrome 81.0.4044.138,,,2020-05-19 15:26:21,2020-05-19 15:26:22,"0,705s",PASSED
,,,,,,,
Test Cases/Rizka/Admin - Manage Modules,Chrome 81.0.4044.138,,,2020-05-19 15:26:22,2020-05-19 15:27:30,"1m - 8,289s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-19 15:26:22,2020-05-19 15:26:27,"5,457s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 81.0.4044.138,,,2020-05-19 15:26:27,2020-05-19 15:26:42,"14,647s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:26:42,2020-05-19 15:26:47,"5,004s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin""))",Chrome 81.0.4044.138,,,2020-05-19 15:26:47,2020-05-19 15:26:49,"1,943s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtUsername""), ""11666"")",Chrome 81.0.4044.138,,,2020-05-19 15:26:49,2020-05-19 15:26:50,"1,160s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtPassword""), ""Password3"")",Chrome 81.0.4044.138,,,2020-05-19 15:26:50,2020-05-19 15:26:51,"0,846s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnEyePass""))",Chrome 81.0.4044.138,,,2020-05-19 15:26:51,2020-05-19 15:26:51,"0,634s",PASSED
"click(findTestObject(""Rizka/Admin - Login/checkboxRememberMe""))",Chrome 81.0.4044.138,,,2020-05-19 15:26:51,2020-05-19 15:26:52,"0,768s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin2""))",Chrome 81.0.4044.138,,,2020-05-19 15:26:52,2020-05-19 15:26:53,"0,634s",PASSED
delay(20),Chrome 81.0.4044.138,,,2020-05-19 15:26:53,2020-05-19 15:27:13,"20,007s",PASSED
"click(findTestObject(""Rizka/Admin - Manage Modules/btnManageModules""))",Chrome 81.0.4044.138,,,2020-05-19 15:27:13,2020-05-19 15:27:14,"0,964s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:27:14,2020-05-19 15:27:19,"5,005s",PASSED
"setText(findTestObject(""Rizka/Admin - Manage Modules/inputSearch""), namaModul)",Chrome 81.0.4044.138,,,2020-05-19 15:27:19,2020-05-19 15:27:24,"5,044s",PASSED
"click(findTestObject(""Rizka/Admin - Manage Modules/btnSearch""))",Chrome 81.0.4044.138,,,2020-05-19 15:27:24,2020-05-19 15:27:25,"0,735s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-19 15:27:25,2020-05-19 15:27:30,"5,004s",PASSED
"if (condition == ""passed"")",Chrome 81.0.4044.138,,,2020-05-19 15:27:30,2020-05-19 15:27:30,"0,002s",PASSED
else,Chrome 81.0.4044.138,,,2020-05-19 15:27:30,2020-05-19 15:27:30,"0,400s",PASSED
