Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Change Password,Chrome 81.0.4044.138,,,2020-05-22 16:57:15,2020-05-22 17:01:27,"4m - 11,600s",PASSED
,,,,,,,
Test Cases/Rizka/Admin - Change Password,Chrome 81.0.4044.138,,,2020-05-22 16:57:16,2020-05-22 16:58:31,"1m - 15,215s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-22 16:57:18,2020-05-22 16:57:27,"9,257s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 81.0.4044.138,,,2020-05-22 16:57:27,2020-05-22 16:57:36,"9,181s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-22 16:57:36,2020-05-22 16:57:41,"5,106s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin""))",Chrome 81.0.4044.138,,,2020-05-22 16:57:41,2020-05-22 16:57:42,"1,074s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtUsername""), ""11666"")",Chrome 81.0.4044.138,,,2020-05-22 16:57:42,2020-05-22 16:57:43,"1,024s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtPassword""), ""Password3"")",Chrome 81.0.4044.138,,,2020-05-22 16:57:43,2020-05-22 16:57:44,"0,857s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnEyePass""))",Chrome 81.0.4044.138,,,2020-05-22 16:57:44,2020-05-22 16:57:45,"0,568s",PASSED
"click(findTestObject(""Rizka/Admin - Login/checkboxRememberMe""))",Chrome 81.0.4044.138,,,2020-05-22 16:57:45,2020-05-22 16:57:45,"0,510s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin2""))",Chrome 81.0.4044.138,,,2020-05-22 16:57:45,2020-05-22 16:57:46,"0,605s",PASSED
delay(20),Chrome 81.0.4044.138,,,2020-05-22 16:57:46,2020-05-22 16:58:06,"20,006s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/btnMyProfile""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:06,2020-05-22 16:58:06,"0,457s",PASSED
delay(3),Chrome 81.0.4044.138,,,2020-05-22 16:58:06,2020-05-22 16:58:09,"3,005s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/btnChangePass""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:09,2020-05-22 16:58:10,"0,624s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-22 16:58:10,2020-05-22 16:58:15,"5,009s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeCurrentPass""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:15,2020-05-22 16:58:16,"0,586s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtCurrentPassword""), currentPass)",Chrome 81.0.4044.138,,,2020-05-22 16:58:16,2020-05-22 16:58:16,"0,655s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeNewPass""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:16,2020-05-22 16:58:17,"0,441s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtNewPassword""), newPass)",Chrome 81.0.4044.138,,,2020-05-22 16:58:17,2020-05-22 16:58:17,"0,614s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeConfirmNewPass""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:17,2020-05-22 16:58:18,"0,433s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtxNewPasswordConfirm""), confirmNewPass)",Chrome 81.0.4044.138,,,2020-05-22 16:58:18,2020-05-22 16:58:18,"0,616s",PASSED
"if (condition == ""passed"")",Chrome 81.0.4044.138,,,2020-05-22 16:58:18,2020-05-22 16:58:31,"13,131s",PASSED
,,,,,,,
Test Cases/Rizka/Admin - Change Password,Chrome 81.0.4044.138,,,2020-05-22 16:58:32,2020-05-22 16:59:31,"59,014s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-22 16:58:32,2020-05-22 16:58:36,"4,929s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 81.0.4044.138,,,2020-05-22 16:58:36,2020-05-22 16:58:48,"11,285s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-22 16:58:48,2020-05-22 16:58:53,"5,005s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:53,2020-05-22 16:58:54,"1,329s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtUsername""), ""11666"")",Chrome 81.0.4044.138,,,2020-05-22 16:58:54,2020-05-22 16:58:55,"0,877s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtPassword""), ""Password3"")",Chrome 81.0.4044.138,,,2020-05-22 16:58:55,2020-05-22 16:58:56,"0,882s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnEyePass""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:56,2020-05-22 16:58:56,"0,457s",PASSED
"click(findTestObject(""Rizka/Admin - Login/checkboxRememberMe""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:56,2020-05-22 16:58:57,"0,504s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin2""))",Chrome 81.0.4044.138,,,2020-05-22 16:58:57,2020-05-22 16:58:57,"0,489s",PASSED
delay(20),Chrome 81.0.4044.138,,,2020-05-22 16:58:57,2020-05-22 16:59:17,"20,004s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/btnMyProfile""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:17,2020-05-22 16:59:18,"0,446s",PASSED
delay(3),Chrome 81.0.4044.138,,,2020-05-22 16:59:18,2020-05-22 16:59:21,"3,005s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/btnChangePass""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:21,2020-05-22 16:59:22,"0,751s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-22 16:59:22,2020-05-22 16:59:27,"5,006s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeCurrentPass""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:27,2020-05-22 16:59:27,"0,459s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtCurrentPassword""), currentPass)",Chrome 81.0.4044.138,,,2020-05-22 16:59:27,2020-05-22 16:59:28,"0,699s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeNewPass""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:28,2020-05-22 16:59:28,"0,479s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtNewPassword""), newPass)",Chrome 81.0.4044.138,,,2020-05-22 16:59:28,2020-05-22 16:59:29,"0,660s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeConfirmNewPass""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:29,2020-05-22 16:59:29,"0,420s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtxNewPasswordConfirm""), confirmNewPass)",Chrome 81.0.4044.138,,,2020-05-22 16:59:29,2020-05-22 16:59:30,"0,705s",PASSED
"if (condition == ""passed"")",Chrome 81.0.4044.138,,,2020-05-22 16:59:30,2020-05-22 16:59:30,"0,001s",PASSED
"else if (condition == ""cancelSave"")",Chrome 81.0.4044.138,,,2020-05-22 16:59:30,2020-05-22 16:59:31,"0,569s",PASSED
,,,,,,,
Test Cases/Rizka/Admin - Change Password,Chrome 81.0.4044.138,,,2020-05-22 16:59:31,2020-05-22 17:00:27,"56,805s",PASSED
"openBrowser("""")",Chrome 81.0.4044.138,,,2020-05-22 16:59:31,2020-05-22 16:59:36,"4,956s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 81.0.4044.138,,,2020-05-22 16:59:36,2020-05-22 16:59:45,"8,966s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-22 16:59:45,2020-05-22 16:59:50,"5,006s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:50,2020-05-22 16:59:51,"0,939s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtUsername""), ""11666"")",Chrome 81.0.4044.138,,,2020-05-22 16:59:51,2020-05-22 16:59:51,"0,874s",PASSED
"setText(findTestObject(""Rizka/Admin - Login/txtPassword""), ""Password3"")",Chrome 81.0.4044.138,,,2020-05-22 16:59:51,2020-05-22 16:59:52,"0,941s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnEyePass""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:52,2020-05-22 16:59:53,"0,489s",PASSED
"click(findTestObject(""Rizka/Admin - Login/checkboxRememberMe""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:53,2020-05-22 16:59:53,"0,511s",PASSED
"click(findTestObject(""Rizka/Admin - Login/btnLogin2""))",Chrome 81.0.4044.138,,,2020-05-22 16:59:53,2020-05-22 16:59:54,"0,560s",PASSED
delay(20),Chrome 81.0.4044.138,,,2020-05-22 16:59:54,2020-05-22 17:00:14,"20,003s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/btnMyProfile""))",Chrome 81.0.4044.138,,,2020-05-22 17:00:14,2020-05-22 17:00:14,"0,461s",PASSED
delay(3),Chrome 81.0.4044.138,,,2020-05-22 17:00:14,2020-05-22 17:00:17,"3,003s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/btnChangePass""))",Chrome 81.0.4044.138,,,2020-05-22 17:00:17,2020-05-22 17:00:18,"0,581s",PASSED
delay(5),Chrome 81.0.4044.138,,,2020-05-22 17:00:18,2020-05-22 17:00:23,"5,004s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeCurrentPass""))",Chrome 81.0.4044.138,,,2020-05-22 17:00:23,2020-05-22 17:00:24,"0,610s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtCurrentPassword""), currentPass)",Chrome 81.0.4044.138,,,2020-05-22 17:00:24,2020-05-22 17:00:24,"0,746s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeNewPass""))",Chrome 81.0.4044.138,,,2020-05-22 17:00:24,2020-05-22 17:00:25,"0,503s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtNewPassword""), newPass)",Chrome 81.0.4044.138,,,2020-05-22 17:00:25,2020-05-22 17:00:25,"0,580s",PASSED
"click(findTestObject(""Rizka/Admin - Change Password/eyeConfirmNewPass""))",Chrome 81.0.4044.138,,,2020-05-22 17:00:25,2020-05-22 17:00:26,"0,486s",PASSED
"setText(findTestObject(""Rizka/Admin - Change Password/txtxNewPasswordConfirm""), confirmNewPass)",Chrome 81.0.4044.138,,,2020-05-22 17:00:26,2020-05-22 17:00:26,"0,560s",PASSED
