Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User-Login,Chrome 83.0.4103.97,,,2020-06-11 19:27:46,2020-06-11 19:33:47,"6m - 0,768s",PASSED
,,,,,,,
Test Cases/Denna/User - Login,Chrome 83.0.4103.97,,,2020-06-11 19:27:48,2020-06-11 19:28:57,"1m - 9,730s",PASSED
"openBrowser(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/Main?redirectTo=onlineLearning"")",Chrome 83.0.4103.97,,,2020-06-11 19:27:49,2020-06-11 19:28:35,"46,153s",PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-11 19:28:35,2020-06-11 19:28:37,"1,568s",PASSED
"click(findTestObject(""Denna/User-Login/button login""))",Chrome 83.0.4103.97,,,2020-06-11 19:28:37,2020-06-11 19:28:52,"15,459s",PASSED
"setText(findTestObject(""Denna/User-Login/input NPK username""), NPK_Username)",Chrome 83.0.4103.97,,,2020-06-11 19:28:52,2020-06-11 19:28:54,"2,241s",PASSED
"setText(findTestObject(""Denna/User-Login/inputPassword""), Password)",Chrome 83.0.4103.97,,,2020-06-11 19:28:54,2020-06-11 19:28:55,"0,538s",PASSED
"if (Keterangan == ""remember"")",Chrome 83.0.4103.97,,,2020-06-11 19:28:55,2020-06-11 19:28:55,"0,003s",PASSED
"click(findTestObject(""Denna/User-Login/button login 1 masuk""))",Chrome 83.0.4103.97,,,2020-06-11 19:28:55,2020-06-11 19:28:55,"0,575s",PASSED
switch (Kondisi),Chrome 83.0.4103.97,,,2020-06-11 19:28:55,2020-06-11 19:28:56,"0,801s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-11 19:28:56,2020-06-11 19:28:57,"1,246s",PASSED
,,,,,,,
Test Cases/Denna/User - Login,Chrome 83.0.4103.97,,,2020-06-11 19:28:58,2020-06-11 19:30:25,"1m - 27,041s",PASSED
"openBrowser(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/Main?redirectTo=onlineLearning"")",Chrome 83.0.4103.97,,,2020-06-11 19:28:58,2020-06-11 19:29:51,"53,027s",PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-11 19:29:51,2020-06-11 19:29:53,"2,237s",PASSED
"click(findTestObject(""Denna/User-Login/button login""))",Chrome 83.0.4103.97,,,2020-06-11 19:29:53,2020-06-11 19:30:20,"26,621s",PASSED
"setText(findTestObject(""Denna/User-Login/input NPK username""), NPK_Username)",Chrome 83.0.4103.97,,,2020-06-11 19:30:20,2020-06-11 19:30:21,"1,582s",PASSED
"setText(findTestObject(""Denna/User-Login/inputPassword""), Password)",Chrome 83.0.4103.97,,,2020-06-11 19:30:21,2020-06-11 19:30:22,"0,863s",PASSED
"if (Keterangan == ""remember"")",Chrome 83.0.4103.97,,,2020-06-11 19:30:22,2020-06-11 19:30:22,"0,001s",PASSED
"click(findTestObject(""Denna/User-Login/button login 1 masuk""))",Chrome 83.0.4103.97,,,2020-06-11 19:30:22,2020-06-11 19:30:23,"0,622s",PASSED
switch (Kondisi),Chrome 83.0.4103.97,,,2020-06-11 19:30:23,2020-06-11 19:30:24,"0,766s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-11 19:30:24,2020-06-11 19:30:25,"1,127s",PASSED
,,,,,,,
Test Cases/Denna/User - Login,Chrome 83.0.4103.97,,,2020-06-11 19:30:25,2020-06-11 19:31:25,"1m - 0,007s",PASSED
"openBrowser(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/Main?redirectTo=onlineLearning"")",Chrome 83.0.4103.97,,,2020-06-11 19:30:25,2020-06-11 19:31:07,"42,146s",PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-11 19:31:07,2020-06-11 19:31:08,"1,226s",PASSED
"click(findTestObject(""Denna/User-Login/button login""))",Chrome 83.0.4103.97,,,2020-06-11 19:31:08,2020-06-11 19:31:19,"10,507s",PASSED
"setText(findTestObject(""Denna/User-Login/input NPK username""), NPK_Username)",Chrome 83.0.4103.97,,,2020-06-11 19:31:19,2020-06-11 19:31:20,"0,930s",PASSED
