Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User - Pengaturan Email,Chrome 83.0.4103.97,,,2020-06-12 12:43:48,2020-06-12 12:49:40,"5m - 52,060s",PASSED
,,,,,,,
Test Cases/Denna/User - Pengaturan Email,Chrome 83.0.4103.97,,,2020-06-12 12:43:48,2020-06-12 12:45:24,"1m - 35,785s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-12 12:43:49,2020-06-12 12:44:57,"1m - 7,828s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Pengaturan Email/button Profile""))",Chrome 83.0.4103.97,,,2020-06-12 12:44:57,2020-06-12 12:45:10,"12,676s",PASSED
"click(findTestObject(""Denna/User - Pengaturan Email/btnPengaturanEmail_v2""))",Chrome 83.0.4103.97,,,2020-06-12 12:45:10,2020-06-12 12:45:12,"2,121s",PASSED
"click(findTestObject(""Denna/User - Pengaturan Email/btnAddAnotherEmail_v2""))",Chrome 83.0.4103.97,,,2020-06-12 12:45:12,2020-06-12 12:45:17,"4,706s",PASSED
"setText(findTestObject(""Denna/User - Pengaturan Email/fieldInputEmail_v2""), email)",Chrome 83.0.4103.97,,,2020-06-12 12:45:17,2020-06-12 12:45:17,"0,518s",PASSED
"if (keterangan == ""cancel"")",Chrome 83.0.4103.97,,,2020-06-12 12:45:17,2020-06-12 12:45:17,"0,001s",PASSED
else,Chrome 83.0.4103.97,,,2020-06-12 12:45:17,2020-06-12 12:45:17,"0,413s",PASSED
delay(5),Chrome 83.0.4103.97,,,2020-06-12 12:45:17,2020-06-12 12:45:22,"5,006s",PASSED
switch (kondisi),Chrome 83.0.4103.97,,,2020-06-12 12:45:22,2020-06-12 12:45:23,"0,402s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-12 12:45:23,2020-06-12 12:45:24,"1,166s",PASSED
,,,,,,,
Test Cases/Denna/User - Pengaturan Email,Chrome 83.0.4103.97,,,2020-06-12 12:45:24,2020-06-12 12:46:40,"1m - 15,926s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-12 12:45:24,2020-06-12 12:46:14,"49,368s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Pengaturan Email/button Profile""))",Chrome 83.0.4103.97,,,2020-06-12 12:46:14,2020-06-12 12:46:25,"11,761s",PASSED
"click(findTestObject(""Denna/User - Pengaturan Email/btnPengaturanEmail_v2""))",Chrome 83.0.4103.97,,,2020-06-12 12:46:25,2020-06-12 12:46:28,"2,221s",PASSED
"click(findTestObject(""Denna/User - Pengaturan Email/btnAddAnotherEmail_v2""))",Chrome 83.0.4103.97,,,2020-06-12 12:46:28,2020-06-12 12:46:33,"5,036s",PASSED
"setText(findTestObject(""Denna/User - Pengaturan Email/fieldInputEmail_v2""), email)",Chrome 83.0.4103.97,,,2020-06-12 12:46:33,2020-06-12 12:46:33,"0,589s",PASSED
"if (keterangan == ""cancel"")",Chrome 83.0.4103.97,,,2020-06-12 12:46:33,2020-06-12 12:46:33,"0,001s",PASSED
else,Chrome 83.0.4103.97,,,2020-06-12 12:46:33,2020-06-12 12:46:34,"0,416s",PASSED
delay(5),Chrome 83.0.4103.97,,,2020-06-12 12:46:34,2020-06-12 12:46:39,"5,004s",PASSED
switch (kondisi),Chrome 83.0.4103.97,,,2020-06-12 12:46:39,2020-06-12 12:46:39,"0,404s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-12 12:46:39,2020-06-12 12:46:40,"1,057s",PASSED
,,,,,,,
Test Cases/Denna/User - Pengaturan Email,Chrome 83.0.4103.97,,,2020-06-12 12:46:40,2020-06-12 12:48:13,"1m - 32,901s",PASSED
