Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User-Forgot Password,Chrome 83.0.4103.97,,,2020-06-15 13:17:52,2020-06-15 13:19:23,"1m - 30,796s",FAILED
,,,,,,,
Test Cases/Denna/User - Forgot Password,Chrome 83.0.4103.97,,,2020-06-15 13:17:53,2020-06-15 13:19:23,"1m - 29,744s",FAILED
"openBrowser("""")",Chrome 83.0.4103.97,,,2020-06-15 13:17:55,2020-06-15 13:18:06,"10,966s",PASSED
"navigateToUrl(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/Main"")",Chrome 83.0.4103.97,,,2020-06-15 13:18:06,2020-06-15 13:18:22,"16,008s",PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-15 13:18:22,2020-06-15 13:18:23,"1,256s",PASSED
"click(findTestObject(""Denna/User - Forgot Password/button login""))",Chrome 83.0.4103.97,,,2020-06-15 13:18:23,2020-06-15 13:18:29,"5,160s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Forgot Password/button Forgot Password""))",Chrome 83.0.4103.97,,,2020-06-15 13:18:29,2020-06-15 13:18:31,"2,114s",PASSED
"setText(findTestObject(""Denna/User - Forgot Password/input NPK npkUser""), NPK)",Chrome 83.0.4103.97,,,2020-06-15 13:18:31,2020-06-15 13:18:31,"0,721s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Forgot Password/button Kirim OTP""))",Chrome 83.0.4103.97,,,2020-06-15 13:18:31,2020-06-15 13:18:32,"0,554s",PASSED
switch (Kondisi),Chrome 83.0.4103.97,,,2020-06-15 13:18:32,2020-06-15 13:19:23,"51,029s",FAILED
