Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User - Ganti Password,Chrome 83.0.4103.97,,,2020-06-15 14:14:20,2020-06-15 14:26:20,"11m - 59,906s",FAILED
,,,,,,,
Test Cases/Denna/User - Ganti Password,Chrome 83.0.4103.97,,,2020-06-15 14:14:21,2020-06-15 14:16:12,"1m - 50,864s",FAILED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 14:14:23,2020-06-15 14:15:13,"50,454s",PASSED
delay(3),Chrome 83.0.4103.97,,,2020-06-15 14:15:13,2020-06-15 14:15:16,"3,006s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Ganti Password/profile""))",Chrome 83.0.4103.97,,,2020-06-15 14:15:16,2020-06-15 14:15:24,"7,917s",PASSED
"click(findTestObject(""Denna/User - Ganti Password/btnGantiPassword_v2""))",Chrome 83.0.4103.97,,,2020-06-15 14:15:24,2020-06-15 14:15:26,"2,132s",PASSED
"setText(findTestObject(""Denna/User - Ganti Password/fieldCurrentPass_v2""), currentPassword)",Chrome 83.0.4103.97,,,2020-06-15 14:15:26,2020-06-15 14:16:12,"45,562s",FAILED
,,,,,,,
Test Cases/Denna/User - Ganti Password,Chrome 83.0.4103.97,,,2020-06-15 14:16:12,2020-06-15 14:17:54,"1m - 42,428s",FAILED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 14:16:12,2020-06-15 14:16:56,"43,988s",PASSED
delay(3),Chrome 83.0.4103.97,,,2020-06-15 14:16:56,2020-06-15 14:16:59,"3,006s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Ganti Password/profile""))",Chrome 83.0.4103.97,,,2020-06-15 14:16:59,2020-06-15 14:17:07,"7,763s",PASSED
"click(findTestObject(""Denna/User - Ganti Password/btnGantiPassword_v2""))",Chrome 83.0.4103.97,,,2020-06-15 14:17:07,2020-06-15 14:17:09,"1,975s",PASSED
"setText(findTestObject(""Denna/User - Ganti Password/fieldCurrentPass_v2""), currentPassword)",Chrome 83.0.4103.97,,,2020-06-15 14:17:09,2020-06-15 14:17:54,"45,300s",FAILED
,,,,,,,
Test Cases/Denna/User - Ganti Password,Chrome 83.0.4103.97,,,2020-06-15 14:17:54,2020-06-15 14:19:43,"1m - 48,273s",FAILED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 14:17:54,2020-06-15 14:18:44,"49,479s",PASSED
delay(3),Chrome 83.0.4103.97,,,2020-06-15 14:18:44,2020-06-15 14:18:47,"3,005s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Ganti Password/profile""))",Chrome 83.0.4103.97,,,2020-06-15 14:18:47,2020-06-15 14:18:55,"8,089s",PASSED
"click(findTestObject(""Denna/User - Ganti Password/btnGantiPassword_v2""))",Chrome 83.0.4103.97,,,2020-06-15 14:18:55,2020-06-15 14:18:57,"1,990s",PASSED
"setText(findTestObject(""Denna/User - Ganti Password/fieldCurrentPass_v2""), currentPassword)",Chrome 83.0.4103.97,,,2020-06-15 14:18:57,2020-06-15 14:19:43,"45,502s",FAILED
,,,,,,,
Test Cases/Denna/User - Ganti Password,Chrome 83.0.4103.97,,,2020-06-15 14:19:43,2020-06-15 14:21:25,"1m - 42,075s",FAILED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 14:19:43,2020-06-15 14:20:26,"43,516s",PASSED
delay(3),Chrome 83.0.4103.97,,,2020-06-15 14:20:26,2020-06-15 14:20:29,"3,005s",PASSED
