Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User - FAQ - Search,Chrome 83.0.4103.97,,,2020-06-16 10:42:39,2020-06-16 10:46:09,"3m - 29,120s",PASSED
,,,,,,,
Test Cases/Denna/User - FAQ - Search,Chrome 83.0.4103.97,,,2020-06-16 10:42:40,2020-06-16 10:44:25,"1m - 44,868s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-16 10:42:41,2020-06-16 10:44:04,"1m - 22,964s",PASSED
"click(findTestObject(""Object Repository/Denna/User - FAQ - Search/button menu My Learning""))",Chrome 83.0.4103.97,,,2020-06-16 10:44:04,2020-06-16 10:44:16,"11,564s",PASSED
"click(findTestObject(""Object Repository/Denna/User - FAQ - Search/button FAQ""))",Chrome 83.0.4103.97,,,2020-06-16 10:44:16,2020-06-16 10:44:17,"1,143s",PASSED
"setText(findTestObject(""Object Repository/Denna/User - FAQ - Search/input search""), search)",Chrome 83.0.4103.97,,,2020-06-16 10:44:17,2020-06-16 10:44:21,"3,866s",PASSED
"if (keterangan == ""notFound"")",Chrome 83.0.4103.97,,,2020-06-16 10:44:21,2020-06-16 10:44:24,"3,088s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-16 10:44:24,2020-06-16 10:44:25,"1,307s",PASSED
,,,,,,,
Test Cases/Denna/User - FAQ - Search,Chrome 83.0.4103.97,,,2020-06-16 10:44:25,2020-06-16 10:46:09,"1m - 43,062s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-16 10:44:26,2020-06-16 10:45:30,"1m - 4,780s",PASSED
"click(findTestObject(""Object Repository/Denna/User - FAQ - Search/button menu My Learning""))",Chrome 83.0.4103.97,,,2020-06-16 10:45:30,2020-06-16 10:45:43,"12,481s",PASSED
"click(findTestObject(""Object Repository/Denna/User - FAQ - Search/button FAQ""))",Chrome 83.0.4103.97,,,2020-06-16 10:45:43,2020-06-16 10:45:44,"0,811s",PASSED
"setText(findTestObject(""Object Repository/Denna/User - FAQ - Search/input search""), search)",Chrome 83.0.4103.97,,,2020-06-16 10:45:44,2020-06-16 10:45:47,"3,271s",PASSED
"if (keterangan == ""notFound"")",Chrome 83.0.4103.97,,,2020-06-16 10:45:47,2020-06-16 10:45:47,"0,002s",PASSED
else,Chrome 83.0.4103.97,,,2020-06-16 10:45:47,2020-06-16 10:46:07,"20,501s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-16 10:46:07,2020-06-16 10:46:09,"1,128s",PASSED
