Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Login,Chrome 83.0.4103.97,,,2020-06-17 13:43:18,2020-06-17 13:54:03,"10m - 44,695s",PASSED
,,,,,,,
Test Cases/Rizka/Admin/Custom/Admin - Login,Chrome 83.0.4103.97,,,2020-06-17 13:43:19,2020-06-17 13:45:23,"2m - 4,071s",PASSED
"openBrowser(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 83.0.4103.97,,,2020-06-17 13:43:20,2020-06-17 13:44:37,"1m - 17,103s",PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-17 13:44:37,2020-06-17 13:44:38,"1,456s",PASSED
delay(30),Chrome 83.0.4103.97,,,2020-06-17 13:44:38,2020-06-17 13:45:08,"30,074s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Login/btnLogin""))",Chrome 83.0.4103.97,,,2020-06-17 13:45:08,2020-06-17 13:45:09,"0,715s",PASSED
"setText(findTestObject(""Rizka/Admin/Admin - Login/txtUsername""), username)",Chrome 83.0.4103.97,,,2020-06-17 13:45:09,2020-06-17 13:45:10,"0,895s",PASSED
"setText(findTestObject(""Rizka/Admin/Admin - Login/txtPassword""), password)",Chrome 83.0.4103.97,,,2020-06-17 13:45:10,2020-06-17 13:45:11,"0,664s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Login/btnEyePass""))",Chrome 83.0.4103.97,,,2020-06-17 13:45:11,2020-06-17 13:45:11,"0,452s",PASSED
"if (rememberMe == ""yes"")",Chrome 83.0.4103.97,,,2020-06-17 13:45:11,2020-06-17 13:45:12,"0,601s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Login/btnLogin2""))",Chrome 83.0.4103.97,,,2020-06-17 13:45:12,2020-06-17 13:45:12,"0,594s",PASSED
delay(10),Chrome 83.0.4103.97,,,2020-06-17 13:45:12,2020-06-17 13:45:22,"10,007s",PASSED
"if (condition == ""passed"")",Chrome 83.0.4103.97,,,2020-06-17 13:45:22,2020-06-17 13:45:23,"0,463s",PASSED
,,,,,,,
Test Cases/Rizka/Admin/Custom/Admin - Login,Chrome 83.0.4103.97,,,2020-06-17 13:45:23,2020-06-17 13:47:08,"1m - 44,660s",PASSED
"openBrowser(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 83.0.4103.97,,,2020-06-17 13:45:23,2020-06-17 13:46:23,"1m - 0,029s",PASSED
