Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Logout,Chrome 83.0.4103.97,,,2020-06-17 13:58:21,2020-06-17 13:59:37,"1m - 15,672s",PASSED
,,,,,,,
Test Cases/Rizka/Admin/Custom/Admin - Logout,Chrome 83.0.4103.97,,,2020-06-17 13:58:22,2020-06-17 13:59:37,"1m - 14,643s",PASSED
"openBrowser(""https://appsrv1.deltadatamandiri.com/ACC_LMS_WEB/#/admNLmn"")",Chrome 83.0.4103.97,,,2020-06-17 13:58:23,2020-06-17 13:58:55,"31,967s",PASSED
delay(5),Chrome 83.0.4103.97,,,2020-06-17 13:58:55,2020-06-17 13:59:00,"5,063s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Login/btnLogin""))",Chrome 83.0.4103.97,,,2020-06-17 13:59:00,2020-06-17 13:59:01,"0,976s",PASSED
"setText(findTestObject(""Rizka/Admin/Admin - Login/txtUsername""), ""11666"")",Chrome 83.0.4103.97,,,2020-06-17 13:59:01,2020-06-17 13:59:03,"1,354s",PASSED
"setText(findTestObject(""Rizka/Admin/Admin - Login/txtPassword""), ""Password3"")",Chrome 83.0.4103.97,,,2020-06-17 13:59:03,2020-06-17 13:59:04,"1,300s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Login/btnEyePass""))",Chrome 83.0.4103.97,,,2020-06-17 13:59:04,2020-06-17 13:59:04,"0,554s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Login/checkboxRememberMe""))",Chrome 83.0.4103.97,,,2020-06-17 13:59:04,2020-06-17 13:59:05,"0,695s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Login/btnLogin2""))",Chrome 83.0.4103.97,,,2020-06-17 13:59:05,2020-06-17 13:59:06,"0,613s",PASSED
delay(10),Chrome 83.0.4103.97,,,2020-06-17 13:59:06,2020-06-17 13:59:16,"10,007s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Logout/userImage""))",Chrome 83.0.4103.97,,,2020-06-17 13:59:16,2020-06-17 13:59:16,"0,496s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Logout/btnLogout""))",Chrome 83.0.4103.97,,,2020-06-17 13:59:16,2020-06-17 13:59:17,"0,507s",PASSED
delay(5),Chrome 83.0.4103.97,,,2020-06-17 13:59:17,2020-06-17 13:59:22,"5,005s",PASSED
"if (condition == ""passed"")",Chrome 83.0.4103.97,,,2020-06-17 13:59:22,2020-06-17 13:59:37,"15,056s",PASSED
