Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Change Password,Chrome 83.0.4103.97,,,2020-06-17 15:14:51,2020-06-17 15:32:54,"18m - 3,003s",FAILED
,,,,,,,
Test Cases/Rizka/Admin/Custom/Admin - Change Password,Chrome 83.0.4103.97,,,2020-06-17 15:14:52,2020-06-17 15:16:13,"1m - 21,063s",PASSED
"callTestCase(findTestCase(""Rizka/Admin/AdminMainLogin""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-17 15:14:53,2020-06-17 15:15:59,"1m - 6,228s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Change Password/btnMyProfile""))",Chrome 83.0.4103.97,,,2020-06-17 15:15:59,2020-06-17 15:16:00,"0,560s",PASSED
delay(3),Chrome 83.0.4103.97,,,2020-06-17 15:16:00,2020-06-17 15:16:03,"3,006s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Change Password/btnChangePassword_v2""))",Chrome 83.0.4103.97,,,2020-06-17 15:16:03,2020-06-17 15:16:03,"0,711s",PASSED
delay(5),Chrome 83.0.4103.97,,,2020-06-17 15:16:03,2020-06-17 15:16:08,"5,020s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Change Password/eyeCurrentPass""))",Chrome 83.0.4103.97,,,2020-06-17 15:16:08,2020-06-17 15:16:09,"0,472s",PASSED
"setText(findTestObject(""Rizka/Admin/Admin - Change Password/txtCurrentPassword""), currentPass)",Chrome 83.0.4103.97,,,2020-06-17 15:16:09,2020-06-17 15:16:10,"0,664s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Change Password/eyeNewPass""))",Chrome 83.0.4103.97,,,2020-06-17 15:16:10,2020-06-17 15:16:10,"0,462s",PASSED
"setText(findTestObject(""Rizka/Admin/Admin - Change Password/txtNewPassword""), newPass)",Chrome 83.0.4103.97,,,2020-06-17 15:16:10,2020-06-17 15:16:11,"0,628s",PASSED
