Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Manage Modules,Chrome 83.0.4103.97,,,2020-06-18 16:11:21,2020-06-18 16:13:22,"2m - 1,242s",FAILED
,,,,,,,
Test Cases/Rizka/Admin/Manage Modules/Admin - Manage Modules - Next Page,Chrome 83.0.4103.97,,,2020-06-18 16:11:21,2020-06-18 16:13:22,"2m - 0,643s",FAILED
"callTestCase(findTestCase(""Rizka/Admin/AdminMainLogin""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-18 16:11:22,2020-06-18 16:12:23,"1m - 0,635s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Manage Modules - Next Page/btnModuleManagement_v2""))",Chrome 83.0.4103.97,,,2020-06-18 16:12:23,2020-06-18 16:12:23,"0,547s",PASSED
delay(3),Chrome 83.0.4103.97,,,2020-06-18 16:12:23,2020-06-18 16:12:27,"3,005s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Manage Modules - Next Page/btnManageModule_v2""))",Chrome 83.0.4103.97,,,2020-06-18 16:12:27,2020-06-18 16:12:27,"0,491s",PASSED
delay(3),Chrome 83.0.4103.97,,,2020-06-18 16:12:27,2020-06-18 16:12:30,"3,007s",PASSED
"scrollToElement(findTestObject(""Rizka/Admin/Admin - Manage Modules - Next Page/btnBefore_v2""), 0)",Chrome 83.0.4103.97,,,2020-06-18 16:12:30,2020-06-18 16:12:32,"2,302s",PASSED
delay(3),Chrome 83.0.4103.97,,,2020-06-18 16:12:32,2020-06-18 16:12:35,"3,004s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Manage Modules - Next Page/btnPage2_v2""))",Chrome 83.0.4103.97,,,2020-06-18 16:12:35,2020-06-18 16:12:36,"0,532s",PASSED
"verifyElementClickable(findTestObject(""Rizka/Admin/Admin - Manage Modules - Next Page/btnBefore_v2""))",Chrome 83.0.4103.97,,,2020-06-18 16:12:36,2020-06-18 16:13:22,"46,232s",FAILED
